# N Sco 2012
# 2012-06-25T01:28:12.300
# 
#     Wavelength       Flux    Uncertainty       Counts  Uncertainty
# 
       3793.0648  4.27642e-14  1.34413e-15      1073.93      33.7551
       3794.5418  4.07359e-14  1.32264e-15      1027.49      33.3613
       3796.0187  3.82101e-14  1.28755e-15      968.002      32.6185
       3797.4957  3.66195e-14  1.24845e-15      931.714      31.7645
       3798.9727  3.64851e-14  1.23816e-15      932.265      31.6374
       3800.4497  3.37034e-14  1.18444e-15      864.807      30.3919
       3801.9267  3.25008e-14  1.18427e-15      837.262      30.5083
       3803.4036  3.26205e-14  1.17383e-15      843.484      30.3524
       3804.8806  3.25600e-14  1.16299e-15      844.762      30.1737
       3806.3576  3.43544e-14  1.18949e-15      894.233      30.9620
       3807.8346  3.35487e-14  1.18845e-15      876.123      31.0365
       3809.3116  3.35567e-14  1.18767e-15      879.334      31.1222
       3810.7885  3.78242e-14  1.23957e-15      994.709      32.5985
       3812.2655  3.73294e-14  1.22848e-15      985.445      32.4301
       3813.7425  3.57476e-14  1.20746e-15      947.582      32.0067
       3815.2195  3.57345e-14  1.20443e-15      951.331      32.0647
       3816.6965  3.57833e-14  1.19756e-15      956.712      32.0183
       3818.1734  3.38424e-14  1.17380e-15      908.633      31.5154
       3819.6504  3.33180e-14  1.16368e-15      898.176      31.3701
       3821.1274  3.25134e-14  1.14758e-15      879.871      31.0556
       3822.6044  3.10889e-14  1.11956e-15      844.452      30.4101
       3824.0814  3.27901e-14  1.14377e-15      893.947      31.1822
       3825.5583  3.34511e-14  1.14747e-15      915.400      31.4009
       3827.0353  3.69699e-14  1.19517e-15      1015.58      32.8317
       3828.5123  4.02039e-14  1.24928e-15      1108.65      34.4497
       3829.9893  4.27469e-14  1.29382e-15      1183.12      35.8095
       3831.4663  4.46437e-14  1.30717e-15      1240.15      36.3118
       3832.9432  4.87045e-14  1.35677e-15      1357.93      37.8283
       3834.4202  5.14969e-14  1.38956e-15      1441.04      38.8840
       3835.8972  5.32154e-14  1.40784e-15      1494.88      39.5477
       3837.3742  5.42289e-14  1.41730e-15      1529.64      39.9778
       3838.8512  5.51753e-14  1.42785e-15      1563.17      40.4523
       3840.3281  5.58394e-14  1.43064e-15      1588.65      40.7023
       3841.8051  5.53723e-14  1.42102e-15      1581.70      40.5911
       3843.2821  5.40577e-14  1.40412e-15      1549.92      40.2582
       3844.7591  5.04145e-14  1.35890e-15      1450.39      39.0946
       3846.2361  4.57117e-14  1.30212e-15      1319.31      37.5811
       3847.7130  4.36075e-14  1.26912e-15      1262.57      36.7450
       3849.1900  4.34880e-14  1.26875e-15      1263.28      36.8557
       3850.6670  4.31694e-14  1.25328e-15      1258.17      36.5266
       3852.1440  4.01616e-14  1.21183e-15      1174.16      35.4290
       3853.6210  3.89924e-14  1.18464e-15      1143.41      34.7383
       3855.0979  3.84178e-14  1.17864e-15      1129.79      34.6613
       3856.5749  3.64585e-14  1.15447e-15      1075.04      34.0416
       3858.0519  3.61158e-14  1.13330e-15      1067.59      33.5006
       3859.5289  3.75825e-14  1.15390e-15      1113.56      34.1899
       3861.0059  3.78371e-14  1.16422e-15      1124.17      34.5900
       3862.4828  3.96990e-14  1.19203e-15      1182.87      35.5176
       3863.9598  4.05738e-14  1.20793e-15      1212.17      36.0876
       3865.4368  4.03822e-14  1.19849e-15      1209.73      35.9030
       3866.9138  3.87444e-14  1.16836e-15      1163.67      35.0911
       3868.3908  3.79965e-14  1.15468e-15      1143.98      34.7644
       3869.8677  3.77901e-14  1.15567e-15      1140.35      34.8734
       3871.3447  3.53382e-14  1.12321e-15      1068.99      33.9771
       3872.8217  3.36067e-14  1.08908e-15      1019.36      33.0339
       3874.2987  3.17813e-14  1.06710e-15      966.930      32.4660
       3875.7757  3.23666e-14  1.07056e-15      988.109      32.6827
       3877.2527  3.48068e-14  1.10748e-15      1066.56      33.9356
       3878.7296  3.61475e-14  1.12600e-15      1111.94      34.6369
       3880.2066  3.93074e-14  1.16301e-15      1213.75      35.9119
       3881.6836  4.01014e-14  1.17645e-15      1242.91      36.4631
       3883.1606  3.80588e-14  1.13965e-15      1184.02      35.4549
       3884.6376  3.55847e-14  1.09648e-15      1111.19      34.2391
       3886.1145  3.40612e-14  1.07509e-15      1067.58      33.6964
       3887.5915  3.54301e-14  1.09538e-15      1114.62      34.4603
       3889.0685  3.79645e-14  1.13247e-15      1198.82      35.7603
       3890.5455  4.05372e-14  1.16380e-15      1284.90      36.8887
       3892.0225  4.34654e-14  1.19767e-15      1382.44      38.0926
       3893.4994  4.60899e-14  1.22973e-15      1470.55      39.2358
       3894.9764  4.72735e-14  1.24753e-15      1512.88      39.9243
       3896.4534  4.78242e-14  1.25747e-15      1535.03      40.3614
       3897.9304  4.51466e-14  1.22068e-15      1453.26      39.2934
       3899.4074  4.19576e-14  1.17945e-15      1354.63      38.0796
       3900.8843  4.14937e-14  1.17035e-15      1343.99      37.9079
       3902.3613  4.30916e-14  1.18445e-15      1400.45      38.4939
       3903.8383  4.68550e-14  1.22811e-15      1527.81      40.0452
       3905.3153  5.19404e-14  1.28912e-15      1698.85      42.1641
       3906.7923  5.61700e-14  1.33588e-15      1842.27      43.8143
       3908.2692  5.81468e-14  1.36254e-15      1911.92      44.8017
       3909.7462  5.70326e-14  1.34959e-15      1879.89      44.4846
       3911.2232  5.42311e-14  1.30846e-15      1792.05      43.2377
       3912.7002  4.84641e-14  1.23621e-15      1605.71      40.9581
       3914.1772  3.87334e-14  1.11120e-15      1286.85      36.9175
       3915.6541  3.01044e-14  9.91596e-16      1002.99      33.0371
       3917.1311  2.49843e-14  9.08802e-16      834.846      30.3674
       3918.6081  2.56382e-14  9.19221e-16      859.373      30.8116
       3920.0851  3.41486e-14  1.04280e-15      1148.51      35.0722
       3921.5621  4.61946e-14  1.19893e-15      1559.22      40.4678
       3923.0390  6.13950e-14  1.37009e-15      2079.67      46.4100
       3924.5160  7.28277e-14  1.49303e-15      2475.76      50.7552
       3925.9930  8.03560e-14  1.56514e-15      2741.49      53.3975
       3927.4700  8.45483e-14  1.59613e-15      2894.99      54.6525
       3928.9470  8.26369e-14  1.57403e-15      2839.84      54.0920
       3930.4239  7.42567e-14  1.48961e-15      2560.67      51.3677
       3931.9009  6.49997e-14  1.39349e-15      2248.39      48.2019
       3933.3779  6.51609e-14  1.38982e-15      2260.70      48.2186
       3934.8549  6.93773e-14  1.43352e-15      2414.23      49.8844
       3936.3319  7.25244e-14  1.46299e-15      2531.52      51.0667
       3937.8088  7.45949e-14  1.48575e-15      2611.89      52.0228
       3939.2858  7.44519e-14  1.48098e-15      2614.89      52.0146
       3940.7628  7.24428e-14  1.45999e-15      2551.91      51.4302
       3942.2398  7.01310e-14  1.43669e-15      2477.50      50.7538
       3943.7168  6.44920e-14  1.37529e-15      2284.52      48.7172
       3945.1937  5.64516e-14  1.28647e-15      2005.12      45.6943
       3946.6707  4.67112e-14  1.17181e-15      1663.75      41.7372
       3948.1477  3.69487e-14  1.04964e-15      1319.56      37.4861
       3949.6247  2.70074e-14  9.03468e-16      966.940      32.3467
       3951.1017  2.00695e-14  7.88243e-16      720.223      28.2872
       3952.5786  1.75872e-14  7.45611e-16      632.474      26.8138
       3954.0556  1.88692e-14  7.73510e-16      680.087      27.8790
       3955.5326  2.57259e-14  8.80316e-16      929.269      31.7987
       3957.0096  3.55745e-14  1.02248e-15      1287.84      37.0149
       3958.4866  4.69045e-14  1.16007e-15      1701.80      42.0897
       3959.9636  5.54440e-14  1.26191e-15      2016.20      45.8889
       3961.4405  6.11073e-14  1.31559e-15      2227.16      47.9492
       3962.9175  6.38774e-14  1.34083e-15      2333.70      48.9860
       3964.3945  6.22960e-14  1.32752e-15      2281.71      48.6230
       3965.8715  5.99214e-14  1.30497e-15      2200.32      47.9188
       3967.3485  5.66899e-14  1.26288e-15      2086.89      46.4896
       3968.8254  6.38509e-14  1.33429e-15      2356.50      49.2435
