# N Sco 2012
# 2012-07-11T03:21:16.500
# 
#     Wavelength       Flux    Uncertainty       Counts  Uncertainty
# 
       2712.7244      0.00000      0.00000      8.06693      7.55281
       2718.4138      0.00000      0.00000      6.54525      7.65154
       2724.1032      0.00000      0.00000      22.1641      7.40199
       2729.7926      0.00000      0.00000      3.54044      6.20359
       2735.4821      0.00000      0.00000      0.00000      6.00000
       2741.1715      0.00000      0.00000      27.9389      7.64290
       2746.8609      0.00000      0.00000      19.0540      7.47878
       2752.5503      0.00000      0.00000      27.0759      7.96232
       2758.2397      0.00000      0.00000      27.2363      8.10927
       2763.9292      0.00000      0.00000      30.4965      8.14568
       2769.6186      0.00000      0.00000      24.7795      7.79302
       2775.3080      0.00000      0.00000      15.5395      7.21251
       2780.9974      0.00000      0.00000      20.4157      7.44397
       2786.6868      0.00000      0.00000      21.9525      7.70238
       2792.3763      0.00000      0.00000      23.1930      7.45424
       2798.0657      0.00000      0.00000      24.0016      7.51141
       2803.7551      0.00000      0.00000      2.39391      6.85130
       2809.4445      0.00000      0.00000      4.70122      6.34262
       2815.1339      0.00000      0.00000      18.9127      7.37833
       2820.8233      0.00000      0.00000     0.997565      6.11079
       2826.5128      0.00000      0.00000      7.53628      6.83700
       2832.2022      0.00000      0.00000      1.10893      6.05871
       2837.8916      0.00000      0.00000      29.4264      7.55794
       2843.5810      0.00000      0.00000      12.6630      7.35859
       2849.2704      0.00000      0.00000      11.0109      7.26239
       2854.9599      0.00000      0.00000      40.7927      8.61313
       2860.6493      0.00000      0.00000      7.52001      6.46834
       2866.3387      0.00000      0.00000      4.31196      6.90086
       2872.0281      0.00000      0.00000      1.33537      6.27899
       2877.7175      0.00000      0.00000      4.44072      6.88793
       2883.4070      0.00000      0.00000      7.33685      7.27208
       2889.0964      0.00000      0.00000      27.7618      8.26051
       2894.7858      0.00000      0.00000      28.3298      8.09598
       2900.4752      0.00000      0.00000      11.7950      7.37723
       2906.1646      0.00000      0.00000      8.69672      7.10901
       2911.8541      0.00000      0.00000      6.39148      6.52997
       2917.5435      0.00000      0.00000      0.00000      6.00000
       2923.2329      0.00000      0.00000      0.00000      6.00000
       2928.9223      0.00000      0.00000      3.20110      6.46316
       2934.6117      0.00000      0.00000      8.98100      7.17338
       2940.3012      0.00000      0.00000      12.9091      7.22516
       2945.9906      0.00000      0.00000      18.3296      7.40633
       2951.6800      0.00000      0.00000      16.3869      7.27073
