# N Sco 2012
# 2012-07-03T00:01:37.200
# 
#     Wavelength       Flux    Uncertainty       Counts  Uncertainty
# 
       3649.1622  2.93174e-14  2.50774e-15      283.252      24.2287
       3650.6390  3.18106e-14  2.57261e-15      308.065      24.9140
       3652.1157  3.36617e-14  2.67481e-15      326.762      25.9650
       3653.5925  3.53901e-14  2.69238e-15      344.350      26.1972
       3655.0692  3.65476e-14  2.76818e-15      356.453      26.9984
       3656.5459  3.91429e-14  2.81510e-15      382.667      27.5208
       3658.0227  5.49680e-14  4.16826e-15      358.158      27.1594
       3659.4994  7.67802e-14  5.41935e-15      391.784      27.6531
       3660.9761  7.45988e-14  5.38988e-15      381.553      27.5678
       3662.4529  6.60053e-14  5.18606e-15      338.398      26.5881
       3663.9296  4.64682e-14  3.95246e-15      305.091      25.9502
       3665.4063  4.86026e-14  4.07861e-15      308.832      25.9164
       3666.8831  4.55381e-14  4.14141e-15      279.689      25.4360
       3668.3598  4.23924e-14  4.17847e-15      251.322      24.7719
       3669.8366  4.55070e-14  4.34772e-15      260.027      24.8429
       3671.3133  5.52049e-14  4.71347e-15      303.545      25.9171
       3672.7900  5.27211e-14  4.89620e-15      278.471      25.8615
       3674.2668  5.80211e-14  5.01167e-15      303.152      26.1852
       3675.7435  6.73110e-14  5.14228e-15      352.525      26.9314
       3677.2202  7.97214e-14  5.32838e-15      418.512      27.9723
       3678.6970  9.05849e-14  5.49933e-15      477.006      28.9586
       3680.1737  9.65663e-14  5.56432e-15      510.340      29.4067
       3681.6504  9.34514e-14  5.56866e-15      495.787      29.5434
       3683.1272  9.40902e-14  5.61060e-15      501.288      29.8918
       3684.6039  9.65348e-14  5.57813e-15      516.857      29.8658
       3686.0807  1.00509e-13  5.62736e-15      541.204      30.3012
       3687.5574  1.02679e-13  5.69658e-15      556.277      30.8621
       3689.0341  9.30574e-14  5.53777e-15      507.341      30.1915
       3690.5109  8.81329e-14  5.49381e-15      483.659      30.1491
       3691.9876  8.01948e-14  5.35605e-15      443.182      29.5992
       3693.4643  7.32640e-14  5.20581e-15      407.896      28.9832
       3694.9411  6.98445e-14  5.12253e-15      391.878      28.7411
       3696.4178  6.76099e-14  5.07331e-15      382.346      28.6904
       3697.8945  7.54754e-14  5.20389e-15      430.225      29.6632
       3699.3713  7.52284e-14  5.18487e-15      432.242      29.7908
       3700.8480  6.79751e-14  5.00118e-15      393.737      28.9687
       3702.3247  7.38036e-14  5.00311e-15      431.138      29.2266
       3703.8015  8.20181e-14  5.01551e-15      483.510      29.5672
       3705.2782  8.46666e-14  4.97160e-15      503.810      29.5836
       3706.7550  8.54588e-14  4.98399e-15      513.481      29.9464
       3708.2317  8.62515e-14  5.00843e-15      523.430      30.3943
       3709.7084  8.16710e-14  4.97574e-15      500.430      30.4883
       3711.1852  8.54265e-14  5.08997e-15      528.559      31.4931
       3712.6619  8.99641e-14  5.17790e-15      562.452      32.3720
       3714.1386  9.25901e-14  5.18655e-15      585.050      32.7723
       3715.6154  8.91023e-14  5.06542e-15      568.683      32.3294
       3717.0921  8.99471e-14  4.95672e-15      579.538      31.9367
       3718.5688  8.68910e-14  4.76315e-15      564.951      30.9692
       3720.0456  8.26977e-14  4.61128e-15      542.623      30.2570
       3721.5223  8.31066e-14  4.61708e-15      550.184      30.5661
       3722.9991  7.75705e-14  4.56949e-15      517.965      30.5121
       3724.4758  7.40060e-14  4.55742e-15      498.496      30.6983
       3725.9525  7.16163e-14  4.51115e-15      486.837      30.6661
       3727.4293  7.05072e-14  4.46937e-15      483.895      30.6735
       3728.9060  7.53915e-14  4.49818e-15      522.339      31.1650
       3730.3827  8.12248e-14  4.51919e-15      568.087      31.6073
       3731.8595  8.07391e-14  4.41192e-15      569.984      31.1463
       3733.3362  8.44107e-14  4.34232e-15      601.403      30.9378
       3734.8129  8.88140e-14  4.35689e-15      638.230      31.3092
       3736.2897  8.49359e-14  4.31163e-15      615.329      31.2362
       3737.7664  8.64794e-14  4.42343e-15      631.349      32.2935
       3739.2432  8.94227e-14  4.48820e-15      658.330      33.0421
       3740.7199  8.25509e-14  4.39061e-15      613.405      32.6250
       3742.1966  7.15065e-14  4.15130e-15      536.590      31.1517
       3743.6734  6.69944e-14  3.97231e-15      507.611      30.0979
       3745.1501  5.76037e-14  3.70639e-15      440.462      28.3406
       3746.6268  5.68409e-14  3.65890e-15      438.560      28.2305
       3748.1036  6.14258e-14  3.70179e-15      478.169      28.8166
       3749.5803  7.22536e-14  3.94570e-15      567.482      30.9897
       3751.0570  8.73435e-14  4.28099e-15      691.997      33.9171
       3752.5338  1.02777e-13  4.58084e-15      821.330      36.6071
       3754.0105  1.14794e-13  4.75707e-15      925.439      38.3504
       3755.4873  1.19390e-13  4.77975e-15      970.536      38.8553
       3756.9640  1.25326e-13  4.73032e-15      1026.62      38.7488
       3758.4407  1.30974e-13  4.74019e-15      1080.54      39.1068
       3759.9175  1.32941e-13  4.76555e-15      1104.82      39.6044
       3761.3942  1.38670e-13  4.87798e-15      1161.27      40.8498
       3762.8709  1.29264e-13  4.72124e-15      1091.28      39.8578
       3764.3477  1.31152e-13  4.75464e-15      1116.70      40.4836
