# N Sco 2012
# 2012-06-23T 1:32:19.5
# 
#     Wavelength       Flux    Uncertainty       Counts  Uncertainty
# 
       5725.2749  1.90474e-13  2.15712e-15      7890.29      89.3572
       5726.3756  1.91578e-13  2.16344e-15      7941.24      89.6784
       5727.4762  1.92250e-13  2.16275e-15      7974.64      89.7121
       5728.5768  1.91950e-13  2.16444e-15      7969.70      89.8671
       5729.6774  1.99157e-13  2.19890e-15      8277.47      91.3919
       5730.7781  1.96581e-13  2.18401e-15      8178.86      90.8668
       5731.8787  1.97414e-13  2.18775e-15      8222.34      91.1202
       5732.9793  2.00529e-13  2.20515e-15      8361.95      91.9535
       5734.0799  2.00584e-13  2.20209e-15      8373.71      91.9300
       5735.1806  2.07752e-13  2.23987e-15      8683.26      93.6185
       5736.2812  2.06878e-13  2.23499e-15      8657.57      93.5310
       5737.3818  2.05195e-13  2.22824e-15      8597.93      93.3661
       5738.4824  2.07381e-13  2.23735e-15      8701.78      93.8802
       5739.5830  2.06541e-13  2.23005e-15      8678.87      93.7069
       5740.6837  2.08107e-13  2.23451e-15      8757.59      94.0332
       5741.7843  2.08598e-13  2.23846e-15      8791.78      94.3444
       5742.8849  2.07282e-13  2.22503e-15      8749.37      93.9188
       5743.9855  2.04951e-13  2.21447e-15      8664.31      93.6171
       5745.0862  2.06323e-13  2.21922e-15      8738.01      93.9861
       5746.1868  2.05264e-13  2.21017e-15      8710.58      93.7907
       5747.2874  2.05706e-13  2.21231e-15      8747.02      94.0715
       5748.3880  2.07086e-13  2.21468e-15      8823.78      94.3655
       5749.4887  2.07137e-13  2.21184e-15      8845.82      94.4571
       5750.5893  2.07498e-13  2.21241e-15      8880.65      94.6884
       5751.6899  2.08070e-13  2.21294e-15      8921.98      94.8901
       5752.7905  2.07292e-13  2.20624e-15      8905.10      94.7781
       5753.8912  2.08953e-13  2.21426e-15      8993.77      95.3063
       5754.9918  2.08870e-13  2.21108e-15      9007.62      95.3539
       5756.0924  2.06339e-13  2.19488e-15      8914.92      94.8303
       5757.1930  2.08097e-13  2.20135e-15      9007.36      95.2842
       5758.2937  2.07097e-13  2.19653e-15      8980.04      95.2448
       5759.3943  2.03866e-13  2.17795e-15      8855.93      94.6099
       5760.4949  2.03816e-13  2.17787e-15      8869.67      94.7765
       5761.5955  2.01343e-13  2.16284e-15      8776.47      94.2770
       5762.6962  1.99352e-13  2.15139e-15      8703.97      93.9322
       5763.7968  1.99706e-13  2.14998e-15      8734.21      94.0299
       5764.8974  1.99473e-13  2.14585e-15      8740.20      94.0236
       5765.9980  1.97748e-13  2.13271e-15      8681.44      93.6292
       5767.0987  1.95670e-13  2.11847e-15      8607.12      93.1870
       5768.1993  1.97051e-13  2.12544e-15      8684.04      93.6682
       5769.2999  1.95473e-13  2.11559e-15      8628.81      93.3892
       5770.4005  1.94934e-13  2.11378e-15      8619.33      93.4644
       5771.5012  1.90907e-13  2.08693e-15      8455.77      92.4357
       5772.6018  1.90227e-13  2.08177e-15      8438.64      92.3495
       5773.7024  1.88623e-13  2.07335e-15      8380.87      92.1227
       5774.8030  1.84077e-13  2.04631e-15      8192.09      91.0685
       5775.9037  1.79750e-13  2.01717e-15      8012.40      89.9156
       5777.0043  1.76983e-13  2.00141e-15      7901.32      89.3519
       5778.1049  1.73338e-13  1.98000e-15      7750.82      88.5362
       5779.2055  1.64249e-13  1.92385e-15      7356.40      86.1654
       5780.3062  1.60785e-13  1.90278e-15      7213.30      85.3645
       5781.4068  1.65478e-13  1.92856e-15      7436.37      86.6666
       5782.5074  1.71765e-13  1.96401e-15      7731.53      88.4046
       5783.6080  1.78419e-13  2.00106e-15      8046.05      90.2406
       5784.7087  1.84269e-13  2.03098e-15      8326.02      91.7679
       5785.8093  1.84190e-13  2.02989e-15      8338.70      91.8977
       5786.9099  1.84272e-13  2.02864e-15      8358.48      92.0181
       5788.0105  1.85396e-13  2.03162e-15      8423.83      92.3106
       5789.1112  1.84535e-13  2.02403e-15      8398.29      92.1148
       5790.2118  1.84750e-13  2.02410e-15      8421.16      92.2610
       5791.3124  1.88538e-13  2.04253e-15      8605.87      93.2317
       5792.4130  1.88045e-13  2.03741e-15      8595.39      93.1287
       5793.5137  1.87162e-13  2.03380e-15      8566.79      93.0912
       5794.6143  1.84025e-13  2.01621e-15      8434.14      92.4059
       5795.7149  1.78758e-13  1.98774e-15      8203.24      91.2176
       5796.8155  1.78523e-13  1.98357e-15      8202.15      91.1346
       5797.9162  1.82488e-13  2.00338e-15      8394.52      92.1562
       5799.0168  1.89063e-13  2.03738e-15      8707.48      93.8334
       5800.1174  1.94237e-13  2.06182e-15      8956.44      95.0726
       5801.2180  1.94131e-13  2.06059e-15      8961.99      95.1265
       5802.3187  1.91976e-13  2.04759e-15      8874.81      94.6574
       5803.4193  1.92676e-13  2.05038e-15      8920.67      94.9302
       5804.5199  1.92165e-13  2.04669e-15      8911.60      94.9144
       5805.6205  1.90768e-13  2.03667e-15      8861.51      94.6069
       5806.7212  1.90736e-13  2.03597e-15      8872.81      94.7106
       5807.8218  1.90020e-13  2.03172e-15      8851.63      94.6428
       5808.9224  1.92323e-13  2.04034e-15      8972.11      95.1847
       5810.0230  1.92621e-13  2.04055e-15      8999.32      95.3350
       5811.1237  1.92278e-13  2.03746e-15      8996.78      95.3341
       5812.2243  1.94989e-13  2.05062e-15      9138.36      96.1044
       5813.3249  1.94425e-13  2.04718e-15      9126.79      96.0996
       5814.4255  1.95870e-13  2.05070e-15      9209.72      96.4232
       5815.5262  1.98839e-13  2.06342e-15      9365.95      97.1937
       5816.6268  1.96076e-13  2.04807e-15      9252.30      96.6432
       5817.7274  1.97227e-13  2.05180e-15      9323.75      96.9971
       5818.8280  1.98911e-13  2.06021e-15      9420.89      97.5762
       5819.9287  1.97409e-13  2.05000e-15      9367.21      97.2743
       5821.0293  1.97572e-13  2.04934e-15      9392.04      97.4200
       5822.1299  1.95595e-13  2.03907e-15      9315.81      97.1169
       5823.2305  1.93652e-13  2.02892e-15      9240.84      96.8178
       5824.3312  1.92732e-13  2.02044e-15      9215.19      96.6042
       5825.4318  1.88909e-13  1.99699e-15      9048.20      95.6502
       5826.5324  1.83886e-13  1.96852e-15      8821.92      94.4395
       5827.6330  1.80848e-13  1.94939e-15      8689.75      93.6685
       5828.7337  1.80287e-13  1.94554e-15      8675.84      93.6239
       5829.8343  1.76801e-13  1.92535e-15      8522.46      92.8089
       5830.9349  1.75692e-13  1.91723e-15      8484.39      92.5855
       5832.0355  1.73959e-13  1.90747e-15      8415.52      92.2767
       5833.1362  1.70279e-13  1.88714e-15      8251.82      91.4516
       5834.2368  1.67345e-13  1.86981e-15      8123.72      90.7693
       5835.3374  1.64916e-13  1.85480e-15      8019.23      90.1914
       5836.4380  1.60632e-13  1.82948e-15      7823.95      89.1089
       5837.5387  1.55740e-13  1.79911e-15      7598.25      87.7746
       5838.6393  1.50716e-13  1.76539e-15      7364.31      86.2609
       5839.7399  1.44478e-13  1.73059e-15      7070.63      84.6934
       5840.8405  1.38004e-13  1.69030e-15      6765.51      82.8651
       5841.9412  1.28485e-13  1.62961e-15      6309.90      80.0303
       5843.0418  1.22020e-13  1.58750e-15      6003.18      78.1027
       5844.1424  1.22313e-13  1.58711e-15      6028.35      78.2228
       5845.2430  1.26155e-13  1.60971e-15      6228.42      79.4733
       5846.3437  1.28615e-13  1.62663e-15      6360.73      80.4459
       5847.4443  1.27373e-13  1.61423e-15      6309.15      79.9569
       5848.5449  1.27943e-13  1.61830e-15      6346.93      80.2795
       5849.6455  1.34855e-13  1.65827e-15      6699.78      82.3854
       5850.7462  1.47680e-13  1.73382e-15      7347.38      86.2609
       5851.8468  1.63474e-13  1.82061e-15      8144.41      90.7044
       5852.9474  1.73475e-13  1.87534e-15      8653.11      93.5437
       5854.0480  1.81136e-13  1.91542e-15      9045.35      95.6497
       5855.1486  1.90414e-13  1.96099e-15      9519.07      98.0326
       5856.2493  1.93802e-13  1.97935e-15      9698.80      99.0564
       5857.3499  2.03401e-13  2.02363e-15      10190.9      101.389
       5858.4505  2.06515e-13  2.03653e-15      10358.8      102.152
       5859.5511  2.05425e-13  2.03342e-15      10316.1      102.115
       5860.6518  2.02710e-13  2.01652e-15      10192.1      101.390
       5861.7524  1.98149e-13  1.99410e-15      9975.37      100.388
       5862.8530  1.88670e-13  1.94585e-15      9509.51      98.0767
       5863.9536  1.78027e-13  1.89231e-15      8982.89      95.4824
       5865.0543  1.64314e-13  1.81793e-15      8301.08      91.8412
       5866.1549  1.54061e-13  1.75848e-15      7792.05      88.9398
       5867.2555  1.39983e-13  1.67940e-15      7088.84      85.0459
       5868.3561  1.28372e-13  1.61086e-15      6508.82      81.6757
       5869.4568  1.23540e-13  1.57767e-15      6271.75      80.0934
       5870.5574  1.18862e-13  1.54384e-15      6042.93      78.4887
       5871.6580  1.21102e-13  1.55761e-15      6165.68      79.3030
       5872.7586  1.29510e-13  1.60836e-15      6603.01      82.0015
       5873.8593  1.43273e-13  1.68872e-15      7315.86      86.2298
       5874.9599  1.61292e-13  1.78969e-15      8248.59      91.5261
       5876.0605  1.79535e-13  1.88722e-15      9195.70      96.6624
       5877.1611  1.95346e-13  1.96153e-15      10020.3      100.617
       5878.2618  2.19228e-13  2.07895e-15      11261.5      106.794
       5879.3624  2.46397e-13  2.19935e-15      12675.1      113.138
       5880.4630  2.80553e-13  2.34222e-15      14450.8      120.644
       5881.5636  3.15792e-13  2.48517e-15      16288.2      128.182
       5882.6643  3.46881e-13  2.59975e-15      17918.5      134.293
       5883.7649  3.49394e-13  2.60568e-15      18075.2      134.800
       5884.8655  3.45333e-13  2.59228e-15      17891.9      134.308
       5885.9661  3.23328e-13  2.50683e-15      16778.5      130.088
       5887.0668  2.79947e-13  2.33598e-15      14550.5      121.415
       5888.1674  2.32769e-13  2.13637e-15      12115.9      111.201
       5889.2680  2.11509e-13  2.04481e-15      11025.2      106.589
       5890.3686  2.55839e-13  2.24410e-15      13354.0      117.135
       5891.4693  3.26812e-13  2.52025e-15      17080.8      131.721
       5892.5699  3.35696e-13  2.54551e-15      17567.5      133.210
       5893.6705  3.00796e-13  2.41332e-15      15758.4      126.431
       5894.7711  2.68356e-13  2.28075e-15      14074.2      119.617
       5895.8718  2.79773e-13  2.33145e-15      14688.9      122.408
       5896.9724  3.54878e-13  2.61685e-15      18650.0      137.524
       5898.0730  4.20764e-13  2.84162e-15      22133.4      149.478
       5899.1736  4.39462e-13  2.89939e-15      23138.9      152.661
       5900.2743  4.54335e-13  2.94365e-15      23944.7      155.138
       5901.3749  4.66542e-13  2.98313e-15      24610.7      157.364
       5902.4755  4.62895e-13  2.96970e-15      24440.7      156.799
       5903.5761  4.61824e-13  2.96687e-15      24406.5      156.794
       5904.6768  4.54767e-13  2.94302e-15      24053.0      155.658
       5905.7774  4.47492e-13  2.91743e-15      23686.9      154.427
       5906.8780  4.41117e-13  2.89538e-15      23367.8      153.380
       5907.9786  4.23623e-13  2.83709e-15      22457.5      150.402
       5909.0793  4.07628e-13  2.78265e-15      21625.9      147.628
       5910.1799  3.96184e-13  2.74145e-15      21040.0      145.589
       5911.2805  3.82836e-13  2.69120e-15      20354.6      143.086
       5912.3811  3.60415e-13  2.61463e-15      19186.1      139.186
       5913.4818  3.52440e-13  2.58296e-15      18785.3      137.674
       5914.5824  3.37926e-13  2.52939e-15      18035.6      134.998
       5915.6830  3.31365e-13  2.50229e-15      17710.0      133.736
       5916.7836  3.18380e-13  2.45098e-15      17040.0      131.179
       5917.8843  3.08841e-13  2.41176e-15      16554.7      129.276
       5918.9849  3.03874e-13  2.38896e-15      16313.8      128.254
       5920.0855  2.91630e-13  2.33965e-15      15680.8      125.802
       5921.1861  2.91031e-13  2.33549e-15      15672.9      125.773
       5922.2868  2.83602e-13  2.30431e-15      15296.5      124.287
       5923.3874  2.73636e-13  2.26294e-15      14781.9      122.245
       5924.4880  2.69325e-13  2.24383e-15      14572.3      121.406
       5925.5886  2.67373e-13  2.23257e-15      14490.9      120.999
       5926.6893  2.63035e-13  2.21338e-15      14279.8      120.161
       5927.7899  2.62650e-13  2.21091e-15      14282.8      120.229
       5928.8905  2.57590e-13  2.18631e-15      14029.4      119.076
       5929.9911  2.52840e-13  2.16446e-15      13791.4      118.063
       5931.0918  2.50576e-13  2.15373e-15      13688.9      117.658
       5932.1924  2.45383e-13  2.13197e-15      13424.7      116.638
       5933.2930  2.46046e-13  2.13417e-15      13481.6      116.937
       5934.3936  2.40250e-13  2.10503e-15      13186.9      115.542
       5935.4943  2.39437e-13  2.09474e-15      13166.1      115.185
       5936.5949  2.37615e-13  2.08782e-15      13089.4      115.011
       5937.6955  2.38630e-13  2.09098e-15      13168.6      115.388
       5938.7961  2.38240e-13  2.08664e-15      13169.4      115.345
       5939.8968  2.34418e-13  2.06821e-15      12980.4      114.523
       5940.9974  2.33522e-13  2.06235e-15      12952.3      114.389
       5942.0980  2.31690e-13  2.05355e-15      12872.1      114.090
       5943.1986  2.29872e-13  2.04253e-15      12793.3      113.675
       5944.2993  2.29456e-13  2.04075e-15      12792.3      113.773
       5945.3999  2.29725e-13  2.03991e-15      12829.6      113.924
       5946.5005  2.31166e-13  2.04360e-15      12933.2      114.335
       5947.6011  2.30855e-13  2.03990e-15      12938.3      114.326
       5948.7018  2.33137e-13  2.04826e-15      13087.9      114.986
       5949.8024  2.30358e-13  2.03677e-15      12953.3      114.530
       5950.9030  2.30365e-13  2.03448e-15      12976.4      114.602
       5952.0036  2.32582e-13  2.04264e-15      13125.7      115.276
       5953.1043  2.29399e-13  2.02804e-15      12970.3      114.666
       5954.2049  2.30777e-13  2.03319e-15      13072.7      115.173
       5955.3055  2.30883e-13  2.02915e-15      13102.8      115.156
       5956.4061  2.30692e-13  2.02436e-15      13111.8      115.059
       5957.5068  2.25878e-13  2.00395e-15      12853.2      114.032
