# N Sco 2012
# 2012-07-07T 1:28:40.3
# 
#     Wavelength       Flux    Uncertainty       Counts  Uncertainty
# 
       5623.0430  5.09889e-14  1.60029e-15      1072.16      33.6497
       5624.1434  5.36999e-14  1.63170e-15      1129.60      34.3237
       5625.2439  5.30692e-14  1.61293e-15      1116.77      33.9421
       5626.3443  5.44772e-14  1.63722e-15      1146.85      34.4667
       5627.4448  4.94638e-14  1.57492e-15      1041.72      33.1681
       5628.5452  5.18046e-14  1.60267e-15      1091.45      33.7658
       5629.6457  5.96521e-14  1.82142e-15      1108.46      33.8458
       5630.7461  5.63632e-14  1.80187e-15      1032.43      33.0055
       5631.8466  6.12002e-14  1.87098e-15      1121.47      34.2850
       5632.9470  6.45427e-14  1.90978e-15      1183.18      35.0097
       5634.0475  6.30209e-14  1.83940e-15      1206.45      35.2129
       5635.1479  6.36111e-14  1.85223e-15      1209.83      35.2280
       5636.2484  6.26786e-14  1.85376e-15      1184.29      35.0261
       5637.3488  6.56040e-14  1.90513e-15      1231.39      35.7593
       5638.4492  6.39488e-14  1.88638e-15      1192.34      35.1720
       5639.5497  6.59916e-14  1.92297e-15      1222.19      35.6141
       5640.6501  7.23791e-14  2.01799e-15      1331.45      37.1219
       5641.7506  7.45958e-14  2.04993e-15      1371.80      37.6976
       5642.8510  7.99980e-14  2.12268e-15      1471.72      39.0509
       5643.9515  8.63025e-14  2.19501e-15      1588.34      40.3976
       5645.0519  8.93074e-14  2.22663e-15      1644.29      40.9957
       5646.1524  9.08529e-14  2.25356e-15      1673.42      41.5084
       5647.2528  9.46312e-14  2.29439e-15      1744.00      42.2843
       5648.3533  9.87995e-14  2.33546e-15      1821.86      43.0659
       5649.4537  1.02885e-13  2.37939e-15      1898.37      43.9033
       5650.5542  1.05818e-13  2.41626e-15      1953.80      44.6134
       5651.6546  1.08843e-13  2.45606e-15      2011.03      45.3793
       5652.7551  1.10906e-13  2.47256e-15      2050.59      45.7165
       5653.8555  1.14953e-13  2.51581e-15      2126.94      46.5493
       5654.9559  1.18687e-13  2.55343e-15      2197.58      47.2789
       5656.0564  1.20058e-13  2.57504e-15      2224.55      47.7130
       5657.1568  1.18507e-13  2.55153e-15      2197.55      47.3149
       5658.2573  1.20160e-13  2.56932e-15      2230.41      47.6919
       5659.3577  1.22553e-13  2.59323e-15      2277.44      48.1907
       5660.4582  1.21467e-13  2.57641e-15      2260.02      47.9367
       5661.5586  1.21403e-13  2.57800e-15      2261.78      48.0290
       5662.6591  1.22430e-13  2.59031e-15      2284.05      48.3246
       5663.7595  1.23465e-13  2.59646e-15      2306.65      48.5084
       5664.8600  1.25328e-13  2.61221e-15      2344.82      48.8729
       5665.9604  1.25822e-13  2.61539e-15      2357.48      49.0037
       5667.0609  1.23891e-13  2.59368e-15      2324.95      48.6731
       5668.1613  1.23171e-13  2.58637e-15      2315.07      48.6122
       5669.2618  1.27520e-13  2.62928e-15      2400.66      49.4982
       5670.3622  1.30754e-13  2.65948e-15      2465.12      50.1394
       5671.4627  1.32874e-13  2.67572e-15      2508.71      50.5184
       5672.5631  1.34558e-13  2.68669e-15      2544.04      50.7962
       5673.6635  1.33065e-13  2.67555e-15      2519.21      50.6539
       5674.7640  1.35020e-13  2.69555e-15      2559.62      51.1004
       5675.8644  1.38329e-13  2.72487e-15      2625.85      51.7254
       5676.9649  1.41106e-13  2.74707e-15      2682.18      52.2171
       5678.0653  1.41936e-13  2.75561e-15      2701.66      52.4513
       5679.1658  1.43554e-13  2.77573e-15      2736.32      52.9091
       5680.2662  1.47464e-13  2.80690e-15      2814.72      53.5767
       5681.3667  1.46255e-13  2.78835e-15      2795.77      53.3012
       5682.4671  1.46192e-13  2.78631e-15      2799.09      53.3487
       5683.5676  1.45273e-13  2.77490e-15      2785.94      53.2150
       5684.6680  1.44444e-13  2.76507e-15      2774.23      53.1069
       5685.7685  1.44930e-13  2.76505e-15      2787.60      53.1834
       5686.8689  1.43285e-13  2.75057e-15      2759.82      52.9786
       5687.9694  1.38767e-13  2.71081e-15      2676.48      52.2850
       5689.0698  1.39644e-13  2.71428e-15      2697.07      52.4234
       5690.1702  1.38293e-13  2.69824e-15      2674.48      52.1819
       5691.2707  1.35468e-13  2.66787e-15      2623.26      51.6619
       5692.3711  1.35296e-13  2.66899e-15      2623.23      51.7486
       5693.4716  1.36101e-13  2.66969e-15      2642.14      51.8270
       5694.5720  1.38425e-13  2.69070e-15      2690.64      52.3005
       5695.6725  1.34855e-13  2.65634e-15      2624.58      51.6984
       5696.7729  1.30111e-13  2.60957e-15      2536.09      50.8652
